Server Code,Login,Weighting
3,80000145,-0.5
1,88001636,-0.5
1,88002068,-0.5
1,88002569,-0.5
1,88002979,-0.5
1,88003373,-0.5
1,88003797,-0.5
1,88005012,-0.5
1,88005067,-0.5
1,88005159,-0.5
1,80081728,-0.5
1,80973609,-0.5
1,88001088,0
1,88001999,0
1,88002000,0
1,88003817,0
1,88003920,0
1,88003988,0
1,88003989,0
1,88003991,0
1,88003993,0
1,88003996,0
1,88003998,0
1,88003999,0
1,88005006,0
1,88005007,0
1,88005015,0
1,88005017,0
1,88005055,0
1,88000389,0
1,88001671,0
1,88001822,0
1,88002712,0
1,88002978,0
1,88003075,0
1,88003677,0
1,88003920,0
1,88003987,0
1,88005012,0
1,88001237,0
1,88001706,0
1,88001973,0
1,88001771,0
1,88001860,0
1,88001933,0
1,88001973,0
1,88002021,0
3,80000151,0
1,88001152,-3
1,88000281,-3
1,88002265,-3
1,88002089,-3
1,88001393,-3
1,88002305,-3
1,88001857,-3
1,88003557,-3
1,88003683,-3
1,88003812,-3
1,88003367,-3
1,88002283,-3
1,88001756,-3
1,88003182,-3
1,88002273,-3
1,88003086,-3
1,88001760,-3
1,88002852,-3
1,88003908,-3
1,88002771,-3
1,88002665,-3
1,88000251,-3
1,88001680,-3
1,88002303,-3
1,88000337,-3
1,88002388,-3
1,88002850,-3
1,88002987,-3
1,88002699,-3
1,88001373,-3
1,88001680,-3
1,88002303,-3
1,88001760,-3
1,88003908,-3
1,88003086,-3
1,88001756,-3
1,88002973,1
1,88001552,1
4,10000042,-1
4,10000043,-1
4,10000045,-1
4,10000051,-1
4,10000056,-1
